Year,Primary Energy Consumed by the Residential Sector(Trillion Btu),Total Energy Consumed by the Residential Sector(Trillion Btu),Primary Energy Consumed by the Commercial Sector(Trillion Btu),Total Energy Consumed by the Commercial Sector(Trillion Btu),Primary Energy Consumed by the Industrial Sector(Trillion Btu),Total Energy Consumed by the Industrial Sector(Trillion Btu),Primary Energy Consumed by the Transportation Sector(Trillion Btu),Total Energy Consumed by the Transportation Sector(Trillion Btu),Primary Energy Consumed by the Electric Power Sector(Trillion Btu),Energy Consumption Balancing Item(Trillion Btu),Primary Energy Consumption Total(Trillion Btu)
1995,6934.563,18517.171,4100.517,14690.03,22657.026,33908.453,23756.634,23811.903,33478.818,3.147,90930.704
1996,7464.613,19502.447,4273.489,15172.043,23342.116,34836.386,24364.55,24419.293,34485.4,4.343,93934.511
1997,7030.834,18962.848,4295.541,15681.304,23620.059,35134.148,24668.13,24722.554,34886.291,6.145,94506.999
1998,6410.976,18952.471,4004.87,15967.601,23113.159,34778.987,25169.441,25224.503,36225.117,-3.373,94920.19
1999,6772.474,19554.197,4053.553,16376.421,22877.873,34691.62,25858.777,25916.005,36975.567,6.282,96544.524
2000,7156.311,20421.765,4278.258,17175.49,22747.977,34587.182,26455.612,26515.482,38061.759,2.306,98702.224
2001,6864.452,20038.277,4084.656,17136.91,21726.186,32652.521,26179.346,26242.105,37215.174,-6.079,96063.734
2002,6907.474,20786.494,4132.17,17345.876,21727.218,32590.122,26747.258,26807.781,38016.154,5.118,97535.391
2003,7233.057,21120.03,4298.49,17346.293,21469.225,32488.614,26806.886,26881.008,38028.287,-1.172,97834.773
2004,6987.244,21082.055,4232.401,17655.66,22339.541,33443.721,27747.645,27826.451,38701.055,-5.519,100002.368
2005,6901.337,21613.315,4052.438,17853.616,21343.003,32374.126,28179.448,28260.694,39625.526,-0.175,100101.576
2006,6154.975,20670.902,3747.569,17707.395,21455.058,32316.844,28617.761,28696.784,39416.564,-0.385,99391.541
2007,6589.438,21519.623,3922.63,18253.076,21283.967,32306.284,28727.423,28815.065,40370.589,-0.684,100893.363
2008,6889.408,21668.347,4100.151,18402.449,20454.863,31260.97,27339.49,27421.412,39969.266,0.534,98753.711
2009,6637.391,21082.081,4055.938,17887.752,18670.213,28380.21,26509.934,26592.151,38068.718,0.021,93942.216
2010,6640.592,21894.849,4023.341,18058.815,20326.545,30574.294,26896.781,26978.158,39618.856,6.87,97512.986
2011,6473.068,21381.888,4065.515,17981.564,20505.416,30892.915,26525.834,26606.226,39292.761,7.527,96870.121
2012,5684.253,19870.105,3725.013,17421.528,20781.285,30954.469,26059.408,26134.955,38131.096,2.169,94383.225
2013,6688.801,21051.788,4161.161,17929.643,21378.14,31524.737,26541.785,26620.304,38356.585,-1.334,97125.138
2014,7006.286,21445.583,4390.243,18264.674,21455.308,31691.389,26801.25,26880.85,38629.409,5.544,98288.041
2015,6464.628,20617.523,4440.931,18156.921,21416.815,31360.534,27178.798,27255.773,37889.578,1.338,97392.089
2016,6029.784,20178.597,4321.462,18030.418,21553.204,31346.819,27736.828,27812,37726.556,-4.494,97363.341
2017,6097.177,19886.446,4368.244,17899.859,21952.689,31797.661,27974.118,28049.359,37241.097,0.414,97633.739
2018,6981.532,21509.095,4775.874,18439.768,22861.052,32756.5,28429.246,28505.042,38162.7,-6.992,101203.413
2019,7088.212,21072.288,4800.109,18013.153,22939.804,32671.864,28596.828,28670.93,37003.283,5.833,100434.068
2020,6611.814,20637.916,4366.498,16695.936,22001.742,31186.595,24373.384,24436.091,35603.1,-3.555,92952.983
